"Part Number","Tariff Code","Hazard/Dangerous Code","Dealer Net Price","Flat Fee","Large Tracks Charge","Regular Tracks Charge","Tires ATV Large Charge","Tires ATV Small Charge","Tires MC Charge","Wheels ATV Charge","Wheels MC Charge"
0100-2780,,None,N,Y,N,N,N,N,N,N,N
0100-2781,,None,N,Y,N,N,N,N,N,N,N
0100-2782,,None,N,Y,N,N,N,N,N,N,N
0100-2783,,None,N,Y,N,N,N,N,N,N,N
0100-2784,,None,N,Y,N,N,N,N,N,N,N
0100-2785,,None,N,Y,N,N,N,N,N,N,N
0100-2786,,None,N,Y,N,N,N,N,N,N,N
0100-2787,,None,N,Y,N,N,N,N,N,N,N
0100-2788,,None,N,Y,N,N,N,N,N,N,N
0100-2789,,None,N,Y,N,N,N,N,N,N,N
0100-2790,,None,N,Y,N,N,N,N,N,N,N
0100-2791,,None,N,Y,N,N,N,N,N,N,N
0100-2792,,None,N,Y,N,N,N,N,N,N,N
0100-2793,,None,N,Y,N,N,N,N,N,N,N
0100-2794,,None,N,Y,N,N,N,N,N,N,N
0100-2795,,None,N,Y,N,N,N,N,N,N,N
0100-2796,,None,N,Y,N,N,N,N,N,N,N
0100-2797,,None,N,Y,N,N,N,N,N,N,N
0100-2798,,None,N,Y,N,N,N,N,N,N,N
0100-2799,,None,N,Y,N,N,N,N,N,N,N
01-0028,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
0100-2800,,None,N,Y,N,N,N,N,N,N,N
0100-2801,,None,N,Y,N,N,N,N,N,N,N
0100-2802,,None,N,Y,N,N,N,N,N,N,N
0100-2803,,None,N,Y,N,N,N,N,N,N,N
0100-2804,,None,N,Y,N,N,N,N,N,N,N
0100-2805,,None,N,Y,N,N,N,N,N,N,N
0100-2806,,None,N,Y,N,N,N,N,N,N,N
0100-2807,,None,N,Y,N,N,N,N,N,N,N
0100-2808,,None,N,Y,N,N,N,N,N,N,N
0100-2809,,None,N,Y,N,N,N,N,N,N,N
0100-2846,,None,N,Y,N,N,N,N,N,N,N
0100-2847,,None,N,Y,N,N,N,N,N,N,N
0100-2848,,None,N,Y,N,N,N,N,N,N,N
0100-2849,,None,N,Y,N,N,N,N,N,N,N
0100-2850,,None,N,Y,N,N,N,N,N,N,N
0100-2851,,None,N,Y,N,N,N,N,N,N,N
0100-2852,,None,N,Y,N,N,N,N,N,N,N
0100-2853,,None,N,Y,N,N,N,N,N,N,N
0100-2854,,None,N,Y,N,N,N,N,N,N,N
0100-2855,,None,N,Y,N,N,N,N,N,N,N
01-0029,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
01-0030,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
01-0031,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
01-0032,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
01-0035X,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
01-0064,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
01-0066,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
01-0067,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
0101-10798,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-10799,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
